feature,importance,feat_type
Rinsole:Acc_Mag__rms__trial_min,0.01531120833599845,spatiotemporal
Rinsole:Gyr_X__rms__trial_min,0.013041726110159121,spatiotemporal
Rinsole:Acc_Mag__min__trial_max,0.011807580393664134,spatiotemporal
Rinsole:Acc_Mag__mean__trial_min,0.010555080163099395,spatiotemporal
Rinsole:Acc_Mag__energy__trial_min,0.008960914107799773,spatiotemporal
Rinsole:Gyr_X__energy__trial_min,0.008713221701456265,spatiotemporal
Linsole:Gyr_Z__cv__trial_min,0.0070403876597485635,spatiotemporal
Rinsole:Acc_Z__min__trial_max,0.0062489185326899035,spatiotemporal
Rinsole:Gyr_X__min__trial_max,0.005422768833476545,spatiotemporal
Rinsole:Acc_Mag__max__trial_min,0.00485493977740134,spatiotemporal
Linsole:Acc_Z__spectral_centroid__trial_min,0.004744116380958969,frequency
Linsole:Acc_Y__dominant_freq__trial_mean,0.0046024249519982215,frequency
Linsole:Gyr_Y__perm_entropy__trial_min,0.004303301319261983,entropy
Linsole:Gyr_X__perm_entropy__trial_max,0.0042994786579467125,entropy
Rinsole:Acc_Z__energy__trial_min,0.004030044789185649,spatiotemporal
Linsole:Gyr_Z__mcr__trial_mean,0.004005236897616031,spatiotemporal
Linsole:Acc_Z__spectral_entropy__trial_min,0.0038207630772915434,frequency
Linsole:Gyr_Mag__cv__trial_min,0.00381976796290539,spatiotemporal
Linsole:Gyr_Z__perm_entropy__trial_min,0.0036786544791685884,entropy
Linsole:Acc_Y__dominant_freq__trial_std,0.0036210414081495556,frequency
Linsole:Acc_Mag__psd_highfreq__trial_min,0.003531706141164363,frequency
Rinsole:Acc_Z__rms__trial_min,0.003519450601630078,spatiotemporal
Rinsole:Gyr_Z__mcr__trial_mean,0.0034009568753401477,spatiotemporal
Linsole:Acc_X__range__trial_min,0.003356892405588143,spatiotemporal
Rinsole:Acc_Y__mcr__trial_min,0.00331414089475763,spatiotemporal
Linsole:Gyr_Y__mean__trial_mean,0.003247351430823017,spatiotemporal
Linsole:Gyr_Y__cv__trial_min,0.0031715884781046678,spatiotemporal
Linsole:Gyr_Mag__spectral_entropy__trial_min,0.003158000275624978,frequency
Rinsole:Acc_Z__max__trial_min,0.0030451384882999285,spatiotemporal
Linsole:Gyr_Z__zcr__trial_std,0.002976472635115579,spatiotemporal
Linsole:Acc_Y__mean__trial_min,0.0028856646085815606,spatiotemporal
Rinsole:Gyr_Z__min__trial_mean,0.0028148359040126715,spatiotemporal
Linsole:Acc_Y__cv__trial_max,0.002782578111195436,spatiotemporal
Linsole:Gyr_Z__rms__trial_min,0.002720360107164368,spatiotemporal
Linsole:Acc_X__perm_entropy__trial_min,0.0027143180745824867,entropy
Rinsole:Gyr_X__max__trial_min,0.0027094626371265006,spatiotemporal
Rinsole:Gyr_Y__range__trial_min,0.0027026979099360653,spatiotemporal
Linsole:Gyr_Z__std__trial_min,0.0026796934094697306,spatiotemporal
Linsole:Gyr_X__min__trial_max,0.0026688804480233465,spatiotemporal
Rinsole:Gyr_Z__mean__trial_mean,0.002650963853839386,spatiotemporal
Rinsole:Acc_Y__range__trial_min,0.0026446107004771823,spatiotemporal
Linsole:Acc_Mag__rms__trial_min,0.0026440406056904616,spatiotemporal
Linsole:Acc_Z__perm_entropy__trial_min,0.002605769678491114,entropy
Linsole:Acc_Z__spectral_entropy__trial_median,0.0025548554090661945,frequency
Linsole:Acc_Y__cv__trial_std,0.002549627638966796,spatiotemporal
Linsole:Gyr_X__perm_entropy__trial_std,0.0025347394511592344,entropy
Linsole:Acc_Mag__spectral_entropy__trial_min,0.0024966935033874744,frequency
Rinsole:Gyr_Y__cv__trial_min,0.0024838315919509767,spatiotemporal
Linsole:Gyr_Mag__energy__trial_min,0.002446774282441013,spatiotemporal
Rinsole:Gyr_Mag__mcr__trial_min,0.002412354266089131,spatiotemporal
Linsole:Acc_Mag__perm_entropy__trial_min,0.0023976390288236427,entropy
Linsole:Gyr_Z__perm_entropy__trial_median,0.002342618697858123,entropy
Linsole:Gyr_X__perm_entropy__trial_min,0.002322783359402427,entropy
Rinsole:Acc_Mag__psd_highfreq__trial_min,0.0022897405497063344,frequency
Linsole:Gyr_Y__energy__trial_min,0.0022853783520639984,spatiotemporal
Linsole:Acc_Z__perm_entropy__trial_std,0.002277592144412259,entropy
Rinsole:Gyr_Y__energy__trial_min,0.0022717794168805342,spatiotemporal
Linsole:Acc_Mag__mean__trial_min,0.0022704043920880224,spatiotemporal
Rinsole:Gyr_Y__rms__trial_min,0.0022499960177175546,spatiotemporal
Rinsole:Gyr_Z__std__trial_min,0.0022022447848900877,spatiotemporal
Linsole:Gyr_Y__perm_entropy__trial_std,0.0021933291856567542,entropy
Rinsole:Acc_Mag__spectral_centroid__trial_max,0.0021891512031194074,frequency
Linsole:Acc_Y__std__trial_min,0.0021465075196879903,spatiotemporal
Rinsole:Acc_Z__mean__trial_min,0.002139442269558558,spatiotemporal
Linsole:Acc_Y__mcr__trial_std,0.0021318504311765053,spatiotemporal
Linsole:Acc_Y__dominant_freq__trial_max,0.002121471713704145,frequency
Linsole:Acc_Mag__psd_harmonic__trial_min,0.002098560401363798,frequency
Linsole:Gyr_X__max__trial_min,0.0020655370330276857,spatiotemporal
Linsole:Acc_X__mcr__trial_min,0.0020382060907764865,spatiotemporal
Rinsole:Acc_X__perm_entropy__trial_std,0.002031495495088893,entropy
Linsole:Acc_X__total_power__trial_min,0.001988443462690836,frequency
Rinsole:Acc_Mag__perm_entropy__trial_min,0.0019721806954034536,entropy
Linsole:Acc_X__spectral_centroid__trial_min,0.001928159534525505,frequency
Linsole:Gyr_Z__range__trial_min,0.0018907679050185206,spatiotemporal
Linsole:Gyr_X__mcr__trial_min,0.0018767855769707311,spatiotemporal
Linsole:Gyr_Z__mean__trial_min,0.0018753739960709992,spatiotemporal
Rinsole:Gyr_Z__max__trial_min,0.0018568108273795017,spatiotemporal
Rinsole:Gyr_X__perm_entropy__trial_std,0.0018260759546346883,entropy
Linsole:Acc_X__mcr__trial_max,0.001820439239055718,spatiotemporal
Linsole:Acc_X__mean__trial_max,0.00181758318807275,spatiotemporal
Linsole:Acc_Y__range__trial_min,0.0018158797569625652,spatiotemporal
Rinsole:Acc_Z__perm_entropy__trial_min,0.0018154562208800894,entropy
Rinsole:Acc_X__perm_entropy__trial_max,0.0018071250484718816,entropy
Rinsole:Gyr_Z__perm_entropy__trial_median,0.0018052146718883916,entropy
Linsole:Acc_Y__spectral_entropy__trial_max,0.0017861407239141472,frequency
Linsole:Gyr_X__mean__trial_median,0.0017810930382619354,spatiotemporal
Linsole:Acc_Z__spectral_centroid__trial_median,0.001767402733366483,frequency
Rinsole:Acc_X__mean__trial_min,0.0017645612504593822,spatiotemporal
Linsole:Gyr_X__min__trial_std,0.0017609672762995121,spatiotemporal
Linsole:Acc_X__max__trial_min,0.001745005913887046,spatiotemporal
Linsole:Acc_Y__perm_entropy__trial_mean,0.0017397003863219393,entropy
Rinsole:Gyr_Y__max__trial_min,0.0017389815471865744,spatiotemporal
Rinsole:Gyr_Z__mean__trial_median,0.0017310487231675911,spatiotemporal
Rinsole:Acc_Mag__min__trial_median,0.0017308756474336544,spatiotemporal
Rinsole:Gyr_Z__energy__trial_min,0.0017296856278720741,spatiotemporal
Rinsole:Gyr_X__max__trial_median,0.0017104001808183145,spatiotemporal
Linsole:Acc_Z__std__trial_min,0.001704443983472385,spatiotemporal
Linsole:Gyr_Z__cv__trial_median,0.001704270726848178,spatiotemporal
Rinsole:Gyr_Z__spectral_centroid__trial_std,0.001691265259020888,frequency
Rinsole:Gyr_X__mean__trial_min,0.0016856704662962995,spatiotemporal
Linsole:Acc_Z__mcr__trial_std,0.0016807561436032103,spatiotemporal
Rinsole:Acc_Z__spectral_entropy__trial_max,0.0016793912969113476,frequency
Linsole:Gyr_Z__spectral_centroid__trial_mean,0.0016728370864872283,frequency
Rinsole:Acc_X__cv__trial_max,0.0016699500153066777,spatiotemporal
Linsole:Acc_Mag__energy__trial_min,0.0016667619426526273,spatiotemporal
Linsole:Acc_Y__mean__trial_median,0.0016523221396018022,spatiotemporal
Linsole:Gyr_Z__perm_entropy__trial_std,0.0016492097142308904,entropy
Linsole:Acc_Z__spectral_centroid__trial_std,0.0016480659287080755,frequency
Linsole:Acc_X__min__trial_max,0.0016473001860082468,spatiotemporal
Rinsole:Acc_X__mcr__trial_mean,0.0016402414259545745,spatiotemporal
Linsole:Gyr_Y__total_power__trial_min,0.0016385069845123298,frequency
Linsole:Gyr_X__cv__trial_min,0.0016337963983399225,spatiotemporal
Linsole:Gyr_Y__mean__trial_median,0.0016305590014917021,spatiotemporal
Rinsole:Acc_Mag__mcr__trial_max,0.0016294425983205873,spatiotemporal
Rinsole:Gyr_Y__perm_entropy__trial_std,0.0016266345284433076,entropy
Rinsole:Gyr_Y__perm_entropy__trial_mean,0.0016263412958228134,entropy
Linsole:Gyr_Y__skewness__trial_median,0.0016042919834263216,spatiotemporal
Linsole:Gyr_Z__spectral_centroid__trial_median,0.0015887142425416595,frequency
Rinsole:Acc_Y__psd_harmonic__trial_min,0.001588614414282225,frequency
Rinsole:Gyr_Z__mcr__trial_std,0.0015882216882369931,spatiotemporal
Rinsole:Gyr_Z__perm_entropy__trial_std,0.0015753347130495294,entropy
Rinsole:Acc_Z__spectral_entropy__trial_median,0.0015666940561317412,frequency
Linsole:Gyr_X__range__trial_min,0.0015525169964083377,spatiotemporal
Rinsole:Gyr_X__max__trial_std,0.001549234529966459,spatiotemporal
Linsole:Gyr_Z__spectral_centroid__trial_min,0.0015477822137492032,frequency
Rinsole:Acc_X__mcr__trial_max,0.0015367324801146285,spatiotemporal
Linsole:Acc_Z__min__trial_max,0.001529094733356946,spatiotemporal
Rinsole:Gyr_X__spectral_entropy__trial_min,0.0015268607990205085,frequency
Linsole:Gyr_X__mcr__trial_mean,0.001520276630756227,spatiotemporal
Rinsole:Acc_Z__min__trial_min,0.001514979678026264,spatiotemporal
Linsole:Acc_X__mcr__trial_std,0.0015147722465431305,spatiotemporal
Linsole:Gyr_Z__energy__trial_min,0.0015136944936427678,spatiotemporal
Linsole:Gyr_Z__energy__trial_median,0.0015112068709020711,spatiotemporal
