Experiment,Model,Accuracy,Balanced_Accuracy,Macro_F1,Sensitivity,Specificity,PD_F1,Precision_PD,AUC
SelfPace,RBF_SVM,0.6389,0.6389,0.6386,0.6111,0.6667,0.6286,0.6471,0.6802
SelfPace,RandomForest,0.6528,0.6528,0.6522,0.6944,0.6111,0.6667,0.641,0.7133
SelfPace,MLP,0.6528,0.6528,0.6495,0.5556,0.75,0.6154,0.6897,0.6659
TUG,RBF_SVM,0.7639,0.7608,0.7616,0.7059,0.8158,0.7385,0.7742,0.808
TUG,RandomForest,0.6944,0.6889,0.6884,0.5882,0.7895,0.6452,0.7143,0.7674
TUG,MLP,0.7083,0.7005,0.6985,0.5588,0.8421,0.6441,0.76,0.7879
TandemGait,RBF_SVM,0.6111,0.6053,0.6035,0.5,0.7105,0.5484,0.6071,0.5797
TandemGait,RandomForest,0.6389,0.6316,0.6286,0.5,0.7632,0.5667,0.6538,0.6815
TandemGait,MLP,0.6111,0.6068,0.6062,0.5294,0.6842,0.5625,0.6,0.6424
HurriedPace,RBF_SVM,0.6441,0.6214,0.6228,0.7429,0.5,0.7123,0.6842,0.6952
HurriedPace,RandomForest,0.5593,0.5107,0.4954,0.7714,0.25,0.675,0.6,0.6417
HurriedPace,MLP,0.6102,0.5994,0.5986,0.6571,0.5417,0.6667,0.6765,0.6488
